Competency|Definition|L1|L2|L3|L4|L5
Deep Learning|Kemampuan dalam meningkatkan akurasi dan efisiensi dalam menyelesaikan berbagai tugas, seperti klasifikasi gambar, pengenalan suara, dan terjemahan bahasa. Mampu memahami konsep-konsep utama Deep Learning, seperti backpropagation, Convolutional Neural Networks (CNNs), dan Recurrent Neural Networks (RNNs), membangun, menerapkan, dan mengevaluasi kinerja model Deep Learning serta Dapat menggunakan Artificial Neural Network (ANN) untuk mempelajari pola dari data.|"*Mampu menjelaskan konsep dasar deep learning, termasuk definisi, tujuan, jenis-jenis, prinsip, fungsi dan manfaatnya.
*Mampu menjelaskan terminologi dasar deep learning, prosedur keamanan dasar, piksel, histogram, dan algoritma CNN, RNN, dan ANN."|"*Menerapkan prinsip-prinsip dan model deep learning di bawah supervisi.
*Menerapkan framework deep learningdasar seperti namun tidak terbatas pada TensorFlow dan PyTorch di bawah supervisi.
*Menerapkan arsitektur model deep learningseperti namun tidak terbatas pada CNN, RNN, ANN dan Transformer di bawah supervisi."|"*Menerapkan algoritma deep learning lanjutan sesuai dengan kebutuhan tugas seperti namun tidak terbatas pada YOLO, Faster R-CNN, Mask R-CNN, preprocessing dan postprocessing data untuk model deep learning secara mandiri.
*Mengembangkan pipeline penglihatan komputer untuk mengatasi masalah bisnis spesifik, mempertimbangkan faktor-faktor seperti akurasi, efisiensi, dan skalabilitas secara mandiri.
*Menerapkan audit internal terhadap model deep learning secara mandiri."|"*Memformulasikan model deep learning yang kompleks.
*Melakukan monitoring dan evaluasi terhadap optimasi model deep learning.
*Memformulasikan pemecahan masalah kinerja dan bias model melalui teknik tuning dan augmentasi data."|"*Menyelaraskan dan mengintegrasikan strategi deep learning yang sesuai dengan tren dan perkembangan terbaru untuk menunjang efisiensi dalam pengembangan deep learning di Perusahaan.
*Mengembangkan framework program deep learning yang adaptif dan responsif berdasarkan leading practice yang dapat diterapkan serta membuka potensi layanan baru yang memanfaatkan deep learning.
*Memberikan arahan strategis terkait solusi inovatif untuk meningkatkan program deep learning."
Machine Learning|Kemampuan untuk memberikan keahlian seputar pembelajaran mesin, sebuah bagian dari Artificial Intellegence (AI) yang memungkinkan komputer untuk belajar tanpa diprogram secara eksplisit. Pembelajaran mesin berfokus pada pengembangan program komputer yang dapat beradaptasi dan meningkatkan performa. Lalu, kemampuan untuk membangun dan menerapkan Generative AI menggunakan model pembelajaran mesin untuk mempelajari pola data dan menghasilkan data baru yang konsisten dengan pola tersebut serta Large Language Models (LLMs) dapat digunakan untuk berbagai tugas, seperti terjemahan bahasa, penulisan kreatif, dan menjawab pertanyaan.|"*Mampu menjelaskan terminologi dasar machine learning seperti namun tidak terbatas pada algoritma, model, overfitting, underfitting, evaluasi model, serta konsep dasar komputer dan pemrograman seperti namun tidak terbatas pada Python, Javascript.
*Mampu menjelaskan konsep dasar RPA, termasuk robotic process automation (RPA), skrip desktop terintegrasi, tenaga kerja virtual, dan komputasi kognitif, bot, workflow, dan antarmuka (API)."|"*Menerapkan kemampuan bahasa pemrograman Python atau R dan menggunakan libraries dasar machine learning seperti namun tidak terbatas pada scikit-learn, TensorFlow Lite di bawah supervisi.
*Menerapkan algoritma machine learning dasar seperti namun tidak terbatas pada regresi linier, decision tree classification di bawah supervisi
*Menerapkan tools RPA populer seperti namun tidak terbatas pada UiPath, Blue Prism, menulis skrip RPA, dan tugas sederhana dalam troubleshooting dan monitoring RPA di bawah supervisi."|"*Merancang dan mengembangkan pipeline machine learning untuk menjawab pertanyaan bisnis spesifik secara mandiri.
*Menerapkan algoritma machine learning lanjutan seperti namun tidak terbatas pada Support Vector Machine (SVM), ensemble methods, teknologi IPA lanjutan (contoh: artificial intelligence, analitik proses), workflow IPA, dan analisis kinerja IPA secara mandiri.
*Menganalisis dan melakukan pemecahan masalah pada machine learning seperti namun tidak terbatas pada overfitting dan underfitting."|"*Memformulasikan teknik deep learning komprehensif seperti namun tidak terbatas pada Generative Adversial Network (GANs ), reinforcement learning dan pipelines machine learning komprehensif, model deep learning untuk tugas kompleks seperti namun tidak terbatas pada computer vision, NLP.
*Memformulasikan model machine learning ke dalam sistem produksi.
*Memberikan rekomendasi pada tim engineer machine learning dalam pengembangan infrastruktur machine learning organisasi serta pemanfaatan IPA untuk transformasi bisnis."|"*Mengembangkan framework machine learning baru, framework teknologi IPA mutakhir seperti namun tidak terbatas pada cloud computing dan machine learning dan tata kelola IPA berdasarkan standar best practice engineering machine learning yang dapat diterapkan di perusahaan dan anak perusahaan serta membuka potensi layanan baru yang memanfaatkan Machine Learning.
*Memberikan guidance pada tim engineer machine learning dalam perumusan strategi AI di perusahaan dan anak perusahaan.
*Menyelaraskan dan mengintegrasikan strategi dengan regulasi dan etika terkait AI, penguasaan framework dan library deep learning bleeding-edge seperti namun tidak terbatas pada PyTorch, TensorFlow 2.0."
Natural Language Processing|Kemampuan untuk memberikan keahlian seputar NLP, sebuah bagian dari Artificial Intelligence (AI) yang memungkinkan komputer untuk memahami bahasa manusia, baik dalam bentuk teks maupun ucapan. NLP berfokus pada pengembangan sistem yang dapat memproses dan menganalisis bahasa manusia. Lalu, mampu menerapkan NLP yaitu Virtual Assistant seperti namun tidak terbatas pada Siri, Alexa, dan Google Assistant menggunakan NLP untuk memahami perintah suara dan memberikan respon yang relevan.|"*Mampu menjelaskan konsep dasar NLP, seperti namun tidak terbatas pada tokenization, stemming, lemmatization, dan klasifikasi teks sederhana.
*Mampu menjelaskan terminologi NLP umum seperti namun tidak terbatas pada n-gram, corpus, model TF-IDF, bag-of-words, dan embedding kata.
*Mampu menjelaskan prosedur pengumpulan data teks dalam preprocessing data."|"*Menerapkan pengetahuan bahasa pemrograman Python untuk NLP, kemampuan dasar membangun dan melatih model NLP sederhana, keahlian dasar dalam visualisasi data teks di bawah supervisi.
*Mengidentifikasi dan memanfaatkan tools NLP dasar untuk klasifikasi teks sederhana seperti namun tidak terbatas pada Naive Bayes, Support Vector Machines di bawah supervisi.
*Menerapkan model NLP sederhana menggunakan framework tingkat dasar seperti namun tidak terbatas pada NLTK, spaCy dan mengidentifikasi hasil analisis NLP sederhana kepada stakeholders secara non-teknis di bawah supervisi."|"*Menerapkan pengetahuan mendalam tentang arsitektur model NLP seperti namun tidak terbatas pada Recurrent Neural Networks (RNN), Long Short Term Memory (LSTM), dan Transformer, kemampuan membangun dan melatih model NLP serta keahlian dalam debugging model NLP secara mandiri.
*Merancang dan mengembangkan pipeline NLP yang efektif untuk menyelesaikan masalah bisnis spesifik dengan mempertimbangkan faktor-faktor seperti namun tidak terbatas pada akurasi, efisiensi, dan skalabilitas, serta memilih dan menerapkan teknik NLP lanjutan untuk tugas kompleks seperti namun tidak terbatas pada ekstraksi entitas, analisis sentimen, pemodelan topik secara mandiri.
*Melakukan pemecahan masalah bias dan fairness dalam model NLP dasar dan masalah kompleks pada sistem NLP, termasuk pipeline data dan keamanan privasi."|"*Memformulasikan sistem dan pipeline NLP kompleks berdasarkan pengetahuan tentang infrastruktur cloud dan komputasi paralel untuk NLP dan mengintegrasikan data teks dari berbagai sumber dan infrastruktur cloud.
*Menetapkan keputusan mengenai strategi NLP di seluruh organisasi, menyelaraskan dengan tujuan bisnis dan inisiatif AI lainnya.
*Memberikan rekomendasi terhadap pemanfaatan NLP untuk inovasi dan transformasi bisnis."|"*Mengembangkan framework teknologi NLP mutakhir seperti namun tidak terbatas pada generasi teks, chatbot, NLP untuk domain spesifik, keamanan dan privasi data dalam konteks NLP, serta menginisiasi perubahan di Perusahaan.
*Mengembangkan tata kelola NLP yang berdasarkan standar dan best practice, menyelaraskan kepatuhan terhadap regulasi dan etika, dan mengintegrasikan strategi IPA yang sesuai dengan tren dan perkembangan terbaru.
*Memberikan arahan strategis terkait pengembangan produk atau sistem menggunakan Natural Language Processing (NLP) kepada tim."
Edge Computing|Kemampuan untuk merancang, mengembangkan, mengimplementasikan, dan mengelola sistem edge computing yang memungkinkan pemprosesan data secara terdistribusi di dekat sumber data atau pengguna. Aktivitas mencakup pemahaman tentang arsitektur jaringan yang mendukung edge computing, teknologi perangkat keras dan perangkat lunak yang digunakan, serta integrasi dengan sistem cloud dan pusat data.|*Mampu menjelaskan konsep dan terminologi dasar dalam Edge Computing, termasuk peran utama infrastruktur jaringan dalam mendukung edge computing.|"*Merancang infrastruktur Edge Computing sederhana di bawah supervisi.
*Melakukan riset untuk mengumpulkan data terkait teknologi Edge Computing."|*Mengelola integrasi solusi edge computing dengan sistem cloud dan data center secara mandiri.|"*Melakukan monitoring dan evaluasi dari implementasi solusi edge computing.
*Mengintegrasikan implementasi solusi edge computing dengan sistem cloud dan data center yang ada."|"*Memberikan arahan strategis terkait dengan pengembangan infrastruktur edge computing.
*Mengembangkan framework dan pedoman berdasarkan tren dan praktek terbaik dalam industri edge computing."
Blockchain|Kemampuan untuk menerapkan teknologi Blockchain sehingga dapat meningkatkan efisiensi operasional, keamanan dan layanan klien, serta untuk menangkap peluang untuk pendapatan baru yang akan memberikan value kepada perusahaan.|"*Mampu menjelaskan istilah-istilah dan konsep teknologi blockchain seperti namun tidak terbatas pada deserntralisasi, immutabilitas, distributed ledgers, kriptografi, dan mekanisme konsensus.
* Mampu menjelaskan fungsi dan tujuan Blockchain yang bermanfaat untuk perusahaan.
"|"*Mampu menjelaskan dan menyelaraskan konsep tentang berbagai jenis blockchain, protokol pemanfaatan blockchain seperti namun tidak terbatas pada konsep smart contracts dan decentralization mengidentifikasi dengan konteks pekerjaan yang dikerjakan.
*Mengidentifikasi potensi manfaat Blockchain untuk organisasi dan risiko penggunaan blockchain di perusahaan.
*Menjalankan aplikasi Blockchain dasar secara sederhana di bawah supervisi."|"*Menerapkan arsitektur blockchain seperti namun tidak terbatas pada konsensus, enkripsi dan mekanisme keamanan secara mandiri.
*Menerapkan perencanaan serta pengelolaan pengembangan teknologi Blockchain secara mandiri.
*Melakukan pemecahan masalah dalam teknologi Blockchain sepanjang lifecycle pengembangan secara mandiri."|"*Melakukan monitoring dan evaluasi pengembangan Blockchain dalam perusahaan untuk peningkatan proyek Blockchain.
*Memberikan rekomendasi solusi blockchain yang sesuai dengan strategi perusahaan dengan memperhitungkan peluang monetisasi dari pengembangan teknologi blockchain."|"*Memberikan guidance terkait penerapan Blockchain lintas organisasi untuk meningkatkan efisiensi operasional, keamanan dan layanan klien, serta membuka potensi layanan baru yang memanfaatkan teknologi Blockchain.
*Mengembangkan pedoman untuk solusi inovatif dalam bidang Blockchain yang sesuai dengan tren terkini sehingga memberikan keuntungan kepada perusahaan dan anak perusahaan."
Decentralized Identity (DID)|Kemampuan untuk merancang, mendesain, dan mengembangkan solusi identitas terdesentralisasi untuk klien mencakup seluruh siklus hidup identitas, termasuk pemeriksaan identitas (pendaftaran), penerbitan kredensial, otentikasi, otorisasi, verifikasi, dan manajemen sehingga pemilik identitas memilik kontrol penuh atas kepemilikannya. |"*Mampu menjelaskan istilah-istilah dan konsep dasar identitas terdesentralisasi, fungsi dan tujuan identitas terdesentralisasi, serta potensi manfaat identitas terdesentralisasi bagi klien.
"|"*Mengidentifikasi teknologi yang dapat di integrasikan untuk penggunaan decentralized identity, seperti namun tidak terbatas pada blockchain, distributed ledger, dan cryptography.
*Menerapkan teknologi identitas terdesentralisasi dasar, seperti namun tidak terbatas pada smart contract dan digital identity wallet di bawah supervisi.
*Melakukan analisis sederhana untuk meningkatkan penggunaan teknologi identitas terdesentralisasi di bawah supervisi."|"*Mengembangkan solusi terkait identitas terdesentralisasi yang aman, andal, dan skalabilitas dengan mengintegrasikan decentralized identity menggunakan teknologi seperti namun tidak terbatas pada blockchain, cryptography, distributed ledger, secara mandiri.
*Melakukan analisis kesenjangan terhadap pengujian solusi identitas terdesentralisasi secara mandiri."|"*Memformulasikan solusi untuk pengembangan decentralized identity yang sesuai dengan strategi perusahaan dengan mempertimbangkan anggaran, waktu, dan resources.
*Memberikan rekomendasi untuk permasalahan kompleks terkait identitas terdesentralisasi pada seluruh siklus hidup pengembangan teknologi decentralized identity.
"|"*Memberikan guidance dalam pelaksanaan strategi inovatif untuk mengintegrasikan decentralized identity menggunakan berbagai macam teknologi.
*Menyelaraskan dan mengintegrasikan strategi untuk pengembangan teknologi decentralized identity yang sesuai dengan tren terkini dan strategi perusahaan dan anak perusahaan, sehingga dapat menciptakan revenue stream baru untuk perusahaan dengan insight/input dari eksternal perusahaan dan anak perusahaan.
*Mengembangkan pedoman untuk pengembangan decentralized identity berdasarkan tren yang ada.
"
Cloud Engineering Management|"Kemampuan untuk melakukan instalasi, migrasi, decommissioning aplikasi cloud dengan menilai arsitektur aplikasi saat ini dan mengeksplorasi apakah aplikasi harus mengalami perubahan arsitektur sebelum berpindah ke cloud. Kemampuan dalam mempertimbangkan kinerja, keamanan infrastruktur, dan tata kelola serta keahlian dalam merancang, mengimplementasikan, dan menguji perubahan arsitektur aplikasi yang diperlukan.

"|"*Mampu menjelaskan konsep, tool, resource, dan terminologi dasar dalam cloud engineering, seperti namun tidak terbatas pada Infrastructure as a Service, Platform as a Service, Software as a Service, VMWare, OpenStack, Docker, Ansible, OpenShift, CEPH, virtual machine, dan storage.
*Mampu menjelaskan tujuan dan manfaat Cloud Engineering seperti namun tidak terbatas pada skalabilitas, fleksibilitas, efisiensi biaya."|"*Mengidentifikasi arsitektur sistem sederhana yang dapat dan membutuhkan perubahan atau migrasi ke cloud di bawah supervisi.
*Menggunakan layanan cloud seperti namun tidak terbatas pada Amazon Web Services (AWS), Microsoft Azure, dan Google Cloud Platform, untuk melakukan kegiatan sederhana seperti namun tidak terbatas pada konfigurasi dan bug fixing sederhana di bawah supervisi."|"*Mengembangkan berbagai layanan cloud sesuai dengan arsitektur dan desain yang telah direncanakan, seperti namun tidak terbatas pada Amazon Web Services (AWS), Microsoft Azure, dan Google Cloud Platform, untuk melakukan instalasi, migrasi arsitektur aplikasi pada sistem cloud, integrasi, decommissioning infrastruktur cloud dengan sistem lain secara mandiri.
*Menerapkan seluruh cycle yang berkaitan dengan kebutuhan sistem operasi seperti namun tidak terbatas pada OS Patching, OS Upgrade, dan Support OS Issue secara mandiri."|"*Memformulasikan strategi optimasi kinerja dan biaya pengembangan infrastruktur cloud agar tetap sesuai dengan roadmap dan strategi yang ditentukan.
*Mengambil keputusan terhadap pemecahan masalah kompleks seperti namun tidak terbatas pada legacy system migration."|"*Memberikan arahan strategis terkait aspek cloud engineering kepada tim untuk desain, pembuatan, dan pengoperasian layanan cloud, berdasarkan regulasi dan tren industri seperti namun tidak terbatas pada serverless computing (contoh: AWS Lambda), hybrid dan multi-cloud.
*Mengembangkan tata kelola terbaik dalam cloud engineering di seluruh organisasi di fase desain, pembuatan, hingga operasi sistem, memastikan kepatuhan terhadap target perusahaan, regulasi, dan standar industri."
Cloud Native|Kemampuan untuk merancang, mengembangkan, dan mengelola aplikasi dan layanan dengan menggunakan cloud yang dapat memenuhi kebutuhan bisnis secara efisien seperti namun tidak terbatas pada microservices platform, private cloud network dan virtual storage, untuk mewujudkan aplikasi dan layanan yang scalable, resilient, dan adaptable terhadap lingkungan yang dinamis.|"*Mampu menjelaskan konsep, prinsip,framework,teknologi, dan praktik cloud nativeserta mengerti kegunaan cloud native, manfaatnya, dan risiko penggunaannya.
*Mampu menjelaskan tools pengembangan cloud native dasar seperti namun tidak terbatas pada Docker Compose, Kubernetes Dashboard."|"*Mengidentifikasi tipe cloud native sederhana yang akan dikembangkan yang selaras dengan kebutuhan perusahaan, seperti namun tidak terbatas pada openshift/openstack/CEPH, containerized, microservice-based, serverless, hingga edge computing application.
*Menerapkan praktik pengembangan cloud native sederhana seperti namun tidak terbatas pada CI/CD dan DevOps di bawah supervisi."|"*Membuat, menguji, men-deploy, dan mengelola aplikasi modern di komputasi cloud seperti namun tidak terbatas pada Microservices Platform/Virtual Private Cloud Network/Virtual Storage, dan dapat mengidentifikasi risiko yang terjadi dalam lifecycle sistem/aplikasi secara mandiri.
*Merancang dan mengembangkan integrasi komponen perangkat lunak dalam pengembangan cloud native dari berbagai tipe cloud native, seperti namun tidak terbatas pada containerized, microservice-based, serverless, hingga edge computing application secara mandiri."|"*Memformulasikan arsitektur cloud native dalam skala besar dengan kompleksitas tinggi serta memliki pemahaman kebutuhan bisnis dan mengimplementasikan sistem cloud yang berkaitan.
*Melakukan monitoring dan evaluasi proses pengembangan cloud native.
*Memformulasikan framework internal berdasarkan berbagai tool dan library, seperti namun tidak terbatas pada Spring Cloud dan Micronaut, untuk mengatur resource dalam pengembangan cloud native."|"*Berkolaborasi dengan pihak eksternal seperti regulator dan third-party vendor untuk mengembangkan cloud native yang dapat meningkatkan efisiensi perusahaan, mengurangi biaya, serta membawa keuntungan strategis.
*Memberikan arahan strategis terkait solusi baru atau pendekatan alternatif terkait perancangan arsitektur cloud native, seperti namun tidak terbatas pada service mesh (contoh: Istio) dan serverless computing (contoh: AWS Lambda)."
Cloud Networks|"Kemampuan untuk menerapkan, mengelola, dan mengotomatiskan jaringan cloud dengan memanfaatkan pemahaman tentang konsep, prinsip, dan teknologi cloud network, serta keterampilan untuk menerapkan dan mengelola jaringan cloud yang aman, andal, dan efisien. 

"|"*Mampu menjelaskan konsep dan teknologi terkait jaringan cloud, seperti namun tidak terbatas pada koneksi jaringan, jaringan ke server, dan jaringan ke data center, Amazon Virtual Private Cloud (VPC), Azure Virtual Network (VNet), dan Google Cloud Virtual Private Cloud (VPC).
*Mampu menjelaskan terminologi dasar Cloud Networks, tujuan, dan manfaat Cloud Networks."|"*Membuat dan menjalankan jaringan cloud sederhana seperti namun tidak terbatas pada subnet, router, switch, dan virtual instance di bawah supervisi.
*Menggunakan layanan cloud network, seperti namun tidak terbatas pada Amazon Virtual Private Cloud (VPC), Azure Virtual Network (VNet), dan Google Cloud Virtual Private Cloud (VPC) di bawah supervisi.
"|"*Mendesain arsitektur jaringan cloud sesuai dengan jenis jaringan dan kebutuhan organisasi secara mandiri.
*Menerapkan jaringan cloud secara end-to-end, seperti namun tidak terbatas pada mengintegrasikan jaringan cloud ke sistem lain, mengembangkan otomatisasi dan orkestrasi jaringan cloud, menerapkan konsep keamanan cloud network secara mandiri.
*Melakukan troubleshooting permasalahan cloud network yang cukup kompleks seperti namun tidak terbatas pada network congestion dan network distribution.
"|"*Memformulasikan strategi pengembangan cloud network untuk mendukung implementasi sistem cloud di perusahaan, dengan mengoptimalkan kinerja dan biaya cloud network agar selaras dengan rencana perusahaan.
*Berkolaborasi dengan tim internal perusahaan (contoh: cloud engineer) untuk melaksanakan proyek pengembangan sistem cloud di perusahaan."|"*Memberikan arahan strategis terkait solusi baru atau pendekatan alternatif terkait perancangan cloud network, seperti namun tidak terbatas pada Network Function Virtualization (NFV), multi-cloud networking, dan network slicing.
*Mengembangkan tata kelola terbaik dalam cloud network engineering di seluruh organisasi di fase desain, pembuatan, hingga operasi jaringan, memastikan kepatuhan terhadap target perusahaan, regulasi, dan standar industri."
Cloud Operations & Service Management|Kemampuan untuk mendukung teknologi informasi dalam memberikan layanan cloud yang cepat dan andal, analitik untuk meningkatkan kinerja, mengoptimalkan penggunaan sumber daya, dan serta kemampuan untuk membangun dan mengimplementasikan alat untuk mendukung dan mengelola arsitektur dan infrastruktur cloud. |"*Mampu menjelaskan berbagai konsep dan teknologi yang berkaitan dengan operasi dan pemeliharaan sistem cloud seperti namun tidak terbatas pada FinOps, chaos engineering, Infrastructure as Code (IaC), Terraform, dan Azure Resource Manager.
*Mampu menjelaskan konsep dasar Information Technology Infrastructure Library (ITIL) dan DevOps dan menjelaskan tujuan dan manfaat Cloud Operations & Service Management."|"*Melakukan kolaborasi secara terbatas dengan tim engineering untuk memastikan bahwa implementasi cloud berjalan dengan baik dan masih sesuai timeline dan rencana di bawah supervisi.
*Melakukan translasi masukan dari pengguna untuk disampaikan kepada tim engineering untuk dapat dilakukan perbaikan lebih lanjut ke dalam sistem cloud di bawah supervisi."|"*Mengembangkan dan melaksanakan metode komunikasi yang tepat kepada user jika terjadi perubahan di dalam sistem cloud sehingga user dapat mengadopsi perubahannya dengan cepat secara mandiri.
*Membuat dokumen dan standar/prosedur operasi yang berkaitan dengan fungsionalitas dan kinerja sistem cloud bersama dengan tim engineering secara mandiri."|"*Melakukan monitoring dan evaluasi performa dan aktualisasi implementasi cloud dengan memastikan bahwa performa cloud selaras dengan rencana bisnis, SLA, dan standar organisasi sehingga dapat membawa manfaat.
*Mengambil keputusan dan rekomendasi untuk permasalahan kompleks yang terjadi pada saat operasi cloud serta memberikan solusi kepada tim engineering dan pengguna, seperti namun tidak terbatas pada resource scaling, vendor lock-in, hingga resource sprawl."|"*Memberikan arahan strategis terkait aspek operasi dan pemeliharaan cloud kepada tim, berdasarkan regulasi dan tren industri seperti namun tidak terbatas pada anomaly detection, automated workflow, dan self-healing system.
*Mengembangkan tata kelola terbaik dalam operasi dan pemeliharaan cloud di seluruh organisasi di fase pengumpulan keluhan dan masalah hingga resolusi."
